Word,Pron,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
whites,"hw""aIts",2,NN,605.5,-0.64,214.74,34,1,611.89,-0.53,108.95,27,0.96
white's,"hw""aIts",2,encl,692.52,-0.24,273.32,33,0.97,585.85,-0.58,92.26,27,1
whitetail,"hw""aIt.t%el",2,NN,833.42,0.16,303.54,33,0.97,616.7,-0.35,139.86,27,0.96
whitewash,"hw""aIt.w%AS",2,NN|VB,759.67,-0.12,445.5,30,0.94,657.19,-0.36,143.8,27,0.96
whitewashed,"hw""aIt.w%ASt",3,VB,885.77,0.12,285.09,31,0.94,804.04,0.17,280.95,27,1
whither,"hw""I.D@`",1,minor,815.48,0.1,391.77,29,0.85,628.74,-0.37,148.78,27,0.96
whiting,"hw""aI4.IN",2,NN,826.53,0.47,264.08,15,0.5,753.05,0.16,170.64,19,0.73
Whitman,"hw""It.m@n",2,NN,815.24,-0.08,279.39,29,0.88,667.95,-0.26,152.04,21,0.81
Whitman's,"w""Itm@nz",NULL,NULL,684.61,-0.14,168.42,31,0.94,645.62,-0.33,147.23,26,0.93
Whitney,"hw""It.ni",1,NN,733.18,-0.21,243.29,28,0.9,698.68,-0.15,153.46,28,1
whittle,"hw""I.4l=",1,VB,763.65,-0.03,225.2,31,0.91,681.39,-0.24,248.39,28,1
whiz,"hw""Iz",1,NN,671.67,-0.42,212.63,30,0.94,609.75,-0.59,132.37,28,1
whizzed,"hw""Izd",2,VB,789.03,0.09,234.8,30,0.88,670.74,-0.24,154.18,27,1
whizzing,"hw""Iz.IN",2,VB,798.43,0.08,225.69,28,0.85,665.29,-0.34,134.57,24,0.96
who,"h""u",1,minor,643.61,-0.6,237.32,33,0.97,578.29,-0.67,118.7,28,1
whoa,"hw""o",1,minor|NN,734.79,-0.27,338.06,24,0.75,632.79,-0.38,116.14,28,1
who'd,"h""ud",2,encl,797.9,0.23,242.31,21,0.68,656.61,-0.41,136.49,28,1
whodunit,"h%u.d""Vn.It",3,NN,893.91,1,172.59,11,0.35,862.5,0.68,253.89,24,0.92
whoever,"h%u.""E.v@`",2,minor,833.2,0.02,302.62,30,0.91,701.81,-0.17,207.42,27,0.96
whole,"h""ol",1,JJ|NN,612.87,-0.68,239.03,31,0.97,568.32,-0.72,88.85,28,1
wholeheartedly,"h%ol.h""Ar4.@d.li",4,RB,898.76,0.47,258.58,33,0.97,808.58,0.52,161.61,26,0.96
wholemeal,"h""ol.m%il",2,JJ,1053.24,0.69,427.89,21,0.75,850.54,0.58,283.06,26,0.96
wholeness,"h""ol.n@s",2,NN,705.35,-0.36,202.69,31,0.94,673.63,-0.3,113.98,27,1
wholes,"h""olz",2,NN,796.4,-0.01,292.8,25,0.78,775.81,0.06,286.76,27,0.96
wholesale,"h""ol.s%el",2,JJ,655.31,-0.32,202.08,35,1,654.89,-0.31,98.44,28,1
wholesalers,"h""ol.s%el.@`z",4,NN,799.71,0.2,357.68,34,1,679.89,-0.1,154.11,28,1
wholesome,"h""ol.sm=",2,JJ,653.03,-0.42,241.54,30,0.97,659.42,-0.35,213.76,26,1
wholewheat,"""holwit",NULL,NULL,955,0.6,345.86,29,0.88,792.74,0.31,186.02,27,1
who'll,"h""ul",2,encl,843.5,0.23,253.61,32,0.94,681.22,-0.3,110.13,27,1
wholly,"h""ol.i",2,RB,750.24,-0.07,224.84,21,0.66,762.22,0.04,143.5,18,0.72
whom,"h""um",1,minor,863.93,-0.03,500.67,30,0.91,669.19,-0.18,138.4,21,0.84
whomever,"h%um.""E.v@`",2,minor,938.73,0.26,432.32,30,0.91,786,0.16,193.95,27,0.96
whomsoever,"h%um.s%o.""E.v@`",3,minor,967.6,0.89,366.13,25,0.78,831.92,0.52,186.98,24,0.92
whoop,"hw""up",1,NN,706.47,-0.2,239.44,30,0.91,615.48,-0.54,76.14,21,0.84
whoopee,"hw""U.pi",1,NN,842.81,0.38,267.33,21,0.66,787.25,0.01,305.01,24,1
whooping,"h""up.IN",2,NN,739.35,-0.3,325.75,34,1,673.56,-0.35,169.71,25,0.93
whoosh,"hw""uS",1,NN|minor|VB,736.41,-0.15,420.15,27,0.79,612.28,-0.53,113.04,25,0.96
whopper,"hw""Ap.@`",2,NN,673.56,-0.29,172.91,32,0.94,613.5,-0.41,120.97,26,1
whoppers,"hw""Ap.@`z",3,NN,694.13,-0.25,142.68,31,0.91,636.89,-0.37,157.57,28,1
whopping,"hw""Ap.IN",2,JJ|VB,700.07,-0.21,279.59,30,0.91,696.16,-0.13,139.66,25,0.93
whore,"h""Or",1,NN|VB,605.77,-0.49,155.9,30,0.91,658.84,-0.09,129.98,25,0.93
who're,"""hu@`",NULL,NN,912,0.62,425.28,13,0.46,818.87,0.53,236.43,23,0.85
whorehouse,"h""Or.h%aUs",2,NN,921.57,0.37,327.13,28,0.9,736.72,0.3,147.61,25,0.93
whoremonger,"h""Or.m%VN.g@`",2,NN,1134.61,1.3,400.68,18,0.58,1009.89,1.1,249.97,18,0.82
whores,"h""Orz",2,NN|VB,849.75,0.1,398.52,28,0.9,727.5,-0.16,158.19,26,1
whorl,"hw""3`l",1,NN,776.42,-0.17,290.51,12,0.35,788.33,0.26,324.83,24,0.86
whorls,"hw""3`lz",2,NN,711.8,0.03,99.95,10,0.31,663.67,-0.21,108.97,15,0.68
who's,"h""uz",2,encl,600.89,-0.61,176.37,35,1,592.62,-0.65,101.41,26,1
whose,"h""uz",1,minor,672.32,-0.43,229.33,28,0.8,757.78,-0.1,311.05,27,1
who've,"h""uv",2,encl,890.17,0.42,351.33,23,0.77,801.15,0.28,225.42,26,0.96
why,"hw""aI",1,minor,561.65,-0.82,109.83,31,0.91,544.11,-0.78,57.96,27,1
why'd,"w""aId",NULL,NULL,796.07,0.13,249.18,15,0.47,634.3,-0.45,129.33,27,1
why'll,"""hwaI@l",NULL,NN,793.25,0.31,332.27,16,0.5,726.96,-0.04,220.84,23,0.88
whosoever,"h%u.s%o.""E.v@`",3,minor,1005.43,0.58,534.27,23,0.77,846.35,0.73,263.87,23,0.85
why're,"""hwaI@`",NULL,NN,1150.46,1.01,498.62,13,0.5,785.9,0.38,263.22,21,0.81
why's,"hw""aIz",2,encl,690.8,-0.23,214.12,30,0.88,547.82,-0.79,105.14,28,1
why've,NULL,NULL,NULL,816.58,0.28,252.46,12,0.4,786.96,0.08,317.68,24,0.86
Wichita,"w""I.tSI.tO",1,NN,838.43,0.46,227.74,21,0.7,875.85,0.48,294.23,27,0.96
wick,"w""Ik",1,NN,629.94,-0.58,260.44,32,0.94,580.62,-0.71,102.8,26,1
wicked,"w""I.kId",1,JJ,698.45,-0.35,254.36,33,1,629.85,-0.39,185.93,26,0.96
wickedly,"w""I.k@d.li",2,RB,877.09,0.18,321.01,34,1,671.44,-0.3,210.14,27,1
wickedness,"w""I.kId.n@s",2,NN,778.88,-0.06,282.09,33,1,679.42,-0.28,109.61,26,1
wicker,"w""I.k@`",1,NN|VB,651.9,-0.37,231.32,30,0.88,603.86,-0.53,110.03,28,1
wickerwork,"w""I.k@`.w%3`k",2,NN,1113.15,1.05,416.12,20,0.61,808.38,0.37,199.29,26,0.9
wicket,"w""I.kIt",1,NN,876.65,0.18,331.41,20,0.67,653.72,-0.45,170.15,25,0.93
wickets,"w""I.kIts",2,NN,827.61,0.11,342.76,28,0.88,662.12,-0.34,155.42,26,0.96
wide,"w""aId",1,JJ|RB|NN,561.12,-0.83,168.78,34,0.97,565.43,-0.77,85.23,28,1
widely,"w""aId.li",2,RB,569.77,-0.64,108.87,31,1,637.63,-0.57,168.85,27,1
widen,"w""aId.n=",2,VB,754.52,-0.33,358.4,29,0.83,611.08,-0.43,170.73,25,0.96
widened,"w""aId.n=d",3,VB|JJ,952.5,0.2,583.63,32,0.97,676,-0.28,160.19,25,0.93
widens,"w""aId.n=z",3,VB,768.19,-0.15,200.57,26,0.81,685.08,-0.18,192.13,25,1
wider,"w""aI4.@`",2,JJ|RB,704.54,-0.27,258.52,28,0.82,642.81,-0.38,170.39,26,1
widespread,"w""aId.spr%Ed",2,JJ,770.88,-0.13,303.32,32,0.97,656.04,-0.22,98.78,28,1
widest,"w""aI4.Ist",2,JJ,798.93,0.1,258.87,29,0.88,693.2,-0.17,179.12,25,0.93
widow,"w""I.do",1,NN,615.59,-0.56,157.29,32,0.97,626.81,-0.46,133.18,26,1
widowed,"w""I.dod",2,JJ|VB,686.39,-0.23,182.91,33,0.97,702.07,-0.26,203.41,27,1
widower,"w""I.do@`",2,NN,806.42,0.04,315.13,31,0.94,727.85,-0.05,185.6,27,0.96
widowhood,"w""I.do.h%Ud",2,NN,1046.43,0.77,408.08,30,0.97,758,0.18,190.64,24,0.96
widows,"w""I.doz",2,NN,774.55,-0.05,303.1,29,0.88,601.83,-0.41,133.47,24,0.92
width,"w""ItT",2,NN,741.71,-0.32,374.12,31,0.91,597.27,-0.55,143.56,26,1
widths,"w""ItTs",3,NN,799.63,0.02,336.95,30,0.91,640.07,-0.39,147.24,27,0.96
wield,"w""ild",1,VB,704.77,-0.1,220.89,26,0.74,631.17,-0.33,108.94,23,0.82
wielded,"w""ild.@d",2,VB,802.83,0.22,242.69,23,0.74,743.68,0.05,159.39,25,0.93
wielder,"w""ild.@`",2,NN,798.38,0.31,228.08,16,0.53,855.3,0.43,249.01,20,0.77
wieners,"w""i.n@`z",2,NN,890.94,0.51,238.24,17,0.52,1009.78,1.16,366.17,18,0.82
wife,"w""aIf",1,NN,584.8,-0.76,152.64,35,1,516.32,-0.9,59.08,28,1
wifely,"w""aIf.li",2,JJ,885.04,0.15,435.27,26,0.81,698.31,-0.17,254.7,26,0.96
wife's,"w""aIfs",2,encl,624.35,-0.6,167.48,31,0.94,588.67,-0.64,125.18,27,0.96
wig,"w""Ig",1,NN,579.91,-0.71,155.96,34,1,554.59,-0.79,73.5,27,1
wiggle,"w""I.gl=",1,VB|NN,687.28,-0.35,199.23,32,0.97,608.63,-0.54,156.14,27,0.96
wiggled,"w""I.gl=d",2,VB,724.06,-0.11,252.06,33,0.97,631.3,-0.44,112.92,27,1
wiggling,"w""I.gl=.IN",2,VB,831,-0.02,490.73,28,0.88,656.63,-0.29,151.72,27,0.96
wigmaker,"w""Ig.m%ek.@`",3,NN,903.93,0.44,307.14,30,0.88,719.96,-0.08,137.37,28,1
wigwam,"w""Ig.wAm",1,NN,824.48,0.24,252.54,23,0.68,714.61,-0.09,157.3,23,0.92
Wilbur,"w""Il.b@`",1,NN,769.82,-0.05,261.19,28,0.85,650.86,-0.44,114,28,1
wild,"w""aIld",1,JJ|RB,576,-0.65,157.64,34,1,568.54,-0.7,127.18,26,1
wildcat,"w""aIld.k%at",2,NN,639.32,-0.4,108.28,34,1,607.11,-0.57,88.14,27,1
wildcatter,"w""aIld.k%a4.@`",3,NN,899.65,0.53,317.31,17,0.52,739.41,0.05,137.34,27,0.93
wildebeest,"w""Il.d@.bist",1,NN,921.81,0.86,360.83,16,0.5,875.57,0.62,312.46,23,0.88
wilder,"w""aIld.@`",2,JJ|NN,670.59,-0.26,233.78,32,0.94,605.08,-0.52,89.78,24,0.86
wilderness,"w""Il.d@`.n@s",2,NN,802.34,-0.07,380.86,32,0.94,707.69,-0.15,192.16,26,0.93
wildest,"w""aIld.Ist",2,JJ,763.91,-0.32,383.44,32,0.94,667.73,-0.34,267.8,26,0.93
wildfire,"w""aIld.f%aIr",2,NN,652.18,-0.43,190.4,33,1,666.46,-0.39,124.57,28,1
wildfowl,"w""aIld.f%aUl",2,NN,890.57,0.56,296.41,21,0.66,705.7,0.02,162.69,20,0.74
wildlife,"w""aIld.l%aIf",2,NN,664.09,-0.41,217.91,34,1,669.04,-0.36,204.86,27,0.96
wildly,"w""aIld.li",2,RB,695.76,-0.49,270.67,33,0.97,645.96,-0.32,107.23,26,0.93
wildness,"w""aIld.n@s",2,NN,640.21,-0.5,250.22,34,0.97,711.46,-0.21,168.79,24,0.89
wile,"w""aIl",1,NN|VB,745.5,0.33,198.06,10,0.29,602.68,-0.56,142.13,22,0.81
wiles,"w""aIlz",2,NN|VB,786.38,0.24,286.85,16,0.48,658.88,-0.32,209.55,24,0.86
Wilfred,"w""Il.frId",1,NN,861.36,0.15,312.47,25,0.76,722.22,0.01,137.82,27,0.96
Wilhelm,"w""Il.hElm",1,NN,825.07,0.13,234.55,28,0.85,759.23,0.19,241.95,22,0.85
will,"w""Il",1,VB|NN,607.26,-0.68,195.97,34,1,558.26,-0.72,84.01,27,1
willed,"w""Ild",2,VB,784.38,-0.18,373.39,26,0.81,605.36,-0.47,105.23,28,1
willful,"""wIlf@l",NULL,JJ,646.74,-0.34,155.3,35,1,662.32,-0.37,182.21,28,1
willfully,"w""Ilf@li",NULL,NULL,760.97,-0.01,281.3,35,1,652.19,-0.37,150.38,27,0.96
William,"w""Il.j@m",1,NN,677.67,-0.24,154.48,30,0.94,635.79,-0.46,127.66,24,0.96
Willie,"w""I.li",2,NN,681.62,-0.28,144.23,29,0.91,669.19,-0.41,186.11,26,1
Williamsburg,"w""Il.j@mz.b3`g",3,NN,879.76,0.3,390.26,33,0.97,704.54,-0.02,108.49,28,1
Willie's,"w""Iliz",NULL,NULL,745.03,-0.08,282.94,32,0.94,651.48,-0.29,91.92,27,1
willing,"w""Il.IN",2,JJ|VB,625.26,-0.57,204.44,34,1,616.15,-0.57,97.64,27,1
willingly,"w""Il.IN.li",3,RB,741.18,-0.13,251.68,34,1,643.54,-0.42,141.24,26,1
willingness,"w""Il.IN.n@s",3,NN,686.35,-0.36,163.74,34,1,635.04,-0.37,118.76,26,1
Willis,"w""I.lIs",1,NN,697.12,-0.16,222.5,25,0.74,695.43,-0.16,205.33,28,1
willow,"w""I.lo",1,NN|VB,663.75,-0.42,228.52,32,0.97,609.36,-0.57,270.83,28,1
willows,"w""I.loz",2,NN,634.59,-0.52,224.86,32,0.97,608.36,-0.51,116.66,28,1
willowy,"w""I.lo.i",2,JJ,891.79,0.66,316.85,14,0.42,732.86,-0.06,193.04,21,0.75
willpower,"w""Il.p%aUr",2,NN,726.97,-0.28,265.06,33,0.97,597.35,-0.52,84.52,26,1
wills,"w""Ilz",2,NN|VB,703.23,-0.34,269.02,31,0.94,589.27,-0.61,108.86,26,1
willy,"w""I.li",2,NN|RB,738.07,-0.27,288.98,28,0.88,633.35,-0.55,124.73,26,0.96
Wilson,"w""Il.sn=",2,NN,619.44,-0.59,146.47,32,1,599.77,-0.5,132.52,26,0.96
Wilsonian,"wIl""soni@n",NULL,JJ,951.29,0.53,356.02,17,0.59,938.5,0.55,241.81,18,0.82
Wilson's,"w""Il.sn=z",3,encl,655.3,-0.52,177.3,33,0.97,640.12,-0.42,151.3,26,1
wilt,"w""Ilt",1,VB,736.14,-0.21,323.45,29,0.83,577.16,-0.68,77.07,25,0.96
wilted,"w""Ilt.@d",2,JJ|VB,742.33,-0.03,154.16,30,0.91,684,-0.25,128.14,26,1
wily,"w""aIl.i",2,JJ|RB,839,0.27,298.98,17,0.5,676.05,-0.23,158.71,20,0.71
win,"w""In",1,VB|NN,584.53,-0.7,182.59,34,1,569.29,-0.69,90.04,28,1
wince,"w""Ins",1,VB|NN,784.69,-0.1,273.28,26,0.76,625.4,-0.56,106.53,25,0.96
winced,"w""Inst",2,VB,778.04,0.06,205.8,27,0.79,659.29,-0.31,199.07,24,1
winches,"w""IntS.@z",2,NN|VB,900.07,0.36,359.39,14,0.41,671.96,-0.26,186.9,23,0.92
Winchester,"w""In.tS%E.st@`",2,NN,748.5,0.11,227.71,32,0.94,741.46,0.09,219.98,24,0.96
wincing,"w""Ins.IN",2,VB,788.46,0.07,250.25,26,0.76,654.17,-0.1,183.93,24,0.89
wind,"w""Ind",1,NN|VB,559.16,-0.72,141.65,32,1,601.04,-0.6,120.72,24,0.83
windbag,"w""Ind.b%ag",2,NN,744.34,-0.15,209.74,29,0.88,742,-0.11,228.35,27,0.96
windbreak,"w""Ind.br%ek",2,NN,716.94,-0.24,234.96,33,0.94,680.63,-0.25,167.22,27,1
windbreaker,"w""Ind.br%ek.@`",3,NN,774.94,-0.1,207.76,31,0.94,658.5,-0.35,107.35,28,1
windbreaks,"w""Ind.br%eks",3,NN|VB,733.39,-0.15,238.48,33,0.97,736.52,-0.06,139.85,27,0.96
winded,"w""In4.@d",2,JJ|VB,661.39,-0.3,155.82,31,0.91,691.92,-0.18,163.41,24,0.89
winder,"w""aIn4.@`",2,NN,655.68,-0.33,189.49,25,0.81,726.05,-0.12,166.4,19,0.73
winders,"w""aIn4.@`z",3,NN,797.41,0.2,354.25,22,0.67,753,-0.09,157.82,20,0.74
windfall,"w""Ind.f%Ol",2,NN,689.35,-0.37,239.71,34,1,667.07,-0.33,198.17,27,0.96
winding,"w""aIn4.IN",2,VB|NN|JJ,698.13,-0.42,261.12,32,0.94,608.13,-0.58,149.77,23,0.85
windjammer,"w""Ind.dZ%am.@`",3,NN,838.76,0.12,191.56,25,0.81,727.15,0.09,154.75,27,0.96
windless,"w""Ind.l@s",2,JJ,726.36,-0.23,303.68,33,1,672.27,-0.17,145.21,22,0.85
windmill,"w""Ind.m%Il",2,NN,675.55,-0.32,195.85,33,1,607.77,-0.58,171.95,26,1
window,"w""In.do",1,NN,640.63,-0.56,212.15,32,0.94,599.63,-0.63,147.27,27,0.96
windowless,"w""In.do.l@s",2,JJ,956.97,0.56,285.89,32,0.97,775,0.22,191.27,25,0.93
windowpane,"w""In.do.p%en",2,NN,899.03,0.45,321.99,29,0.88,751.11,0.08,311.94,27,0.96
windowpanes,"w""In.do.p%enz",3,NN,920.3,0.4,306.75,27,0.9,801.79,0.18,343.2,28,1
windows,"w""In.doz",2,NN,612.19,-0.67,227.75,31,1,631.12,-0.41,130.6,26,1
windowsill,"w""In.do.s%Il",2,NN,893.18,0.38,367.01,28,0.93,796.89,0.14,241.4,27,1
winds,"w""aIndz",2,VB,564.79,-0.77,125.69,34,0.97,647.79,-0.5,268.08,24,0.96
windscreen,"w""Ind.skr%in",2,NN,879.38,0.32,302.3,32,0.91,743.71,0.12,190.15,17,0.68
windshield,"w""Ind.S%ild",2,NN,783.56,-0.14,368.27,34,0.94,683.64,0.04,186.76,22,1
windsleeve,"""wInd.sliv",NULL,NULL,914.29,0.53,409.68,21,0.68,803.65,0.24,215.25,23,0.88
windsock,"w""Ind.s%Ak",2,NN,844.04,0.29,339.41,24,0.75,697.32,-0.14,156.44,25,0.93
Windsor,"w""In.z@`",1,NN,948.68,0.25,477.22,28,0.82,739.68,-0.13,185.28,25,0.96
windstorm,"w""Ind.st%Orm",2,NN,684.21,-0.34,170.92,33,0.97,657.77,-0.29,171.31,26,1
windswept,"w""Ind.sw%Ept",2,JJ,895.56,0.28,366.07,27,0.9,756.65,0.13,205.15,26,1
windup,"w""aInd.%Vp",2,NN|JJ,922.26,0.32,355.43,27,0.79,715.72,-0.15,190.25,25,0.96
windward,"w""Ind.w@`d",2,RB|JJ,835.7,0.17,316.64,30,0.94,694.24,-0.16,166.62,25,0.93
windy,"w""In4.i",2,JJ,608.52,-0.61,131.94,33,0.97,654.62,-0.35,285.84,26,0.96
wine,"w""aIn",1,NN,568.21,-0.74,226.85,34,1,562.54,-0.8,70.18,26,1
wineglass,"w""aIn.gl%as",2,NN,820.38,0.03,384.3,29,0.91,746.52,0.23,157.85,25,0.96
winepress,"w""aIn.pr%Es",2,NN,1000.83,0.68,407.18,24,0.71,919.46,0.55,339.54,26,1
wines,"w""aInz",2,NN,614.59,-0.61,221.41,29,0.85,595.93,-0.58,115.07,27,0.96
wine's,"w""aInz",NULL,NULL,756.48,-0.26,347.66,31,0.91,620.68,-0.45,231.02,28,1
wineskin,"w""aIn.sk%In",2,NN,955.19,0.59,451.79,16,0.52,905.54,0.43,280.53,24,0.86
wing,"w""IN",1,NN|VB,677.61,-0.46,315.74,33,0.97,605.96,-0.54,190.67,26,1
wingback,"w""IN.b%ak",2,NN|JJ,735.29,-0.03,205.65,24,0.75,717.52,-0.13,200.17,27,0.96
winged,"w""INd",2,VB,759.58,-0.2,342.44,31,0.91,626.76,-0.51,154.76,25,0.96
winger,"w""IN.@`",2,NN,694.08,-0.12,205.98,25,0.76,682.33,-0.36,180.24,24,0.92
winging,"w""IN.IN",2,NN|VB|JJ,740.32,-0.13,249.22,28,0.88,672.22,-0.31,187.6,27,1
wingless,"w""IN.l@s",2,JJ,824.68,-0.15,416.76,31,1,673.38,-0.35,143.33,26,1
wingman,"w""IN.m@n",2,NN,814.03,0.09,252.67,31,0.94,706.28,-0.11,151.04,25,1
wings,"w""INz",2,NN|VB,600.75,-0.68,155.33,32,0.97,550.15,-0.75,99.85,27,1
wingspan,"w""IN.sp%an",2,NN,838.6,-0.11,386.23,30,0.91,710.92,-0.2,242.88,25,0.96
wingspread,"w""IN.spr%Ed",2,NN,907.39,0.47,358.77,33,0.97,701.39,-0.21,192.86,23,0.92
wink,"w""INk",1,NN|VB,635.25,-0.47,218.09,32,0.94,546.36,-0.8,89.73,22,0.96
winked,"w""INkt",2,VB,680.53,-0.4,196.72,34,0.97,616.83,-0.55,112.28,24,1
winking,"w""INk.IN",2,VB,682.59,-0.27,224.69,32,0.94,647.38,-0.4,286.39,21,0.95
winless,"w""In.l%Es",2,JJ|RB,924.79,0.53,514.24,14,0.47,720.88,-0.06,237.75,26,0.96
winner,"w""In.@`",2,NN,587.55,-0.68,155.11,33,0.97,587.61,-0.69,168.5,28,1
winners,"w""In.@`z",3,NN,611.35,-0.63,208.44,34,1,592.41,-0.52,114.22,27,1
winning,"w""In.IN",2,VB|NN,702.33,-0.42,386.88,30,0.94,648.04,-0.43,172.33,23,0.88
winnings,"w""In.INz",3,NN,735.24,-0.19,282.35,33,0.97,736.81,-0.13,235.3,26,1
Winnipeg,"w""I.nI.p%Eg",1,NN,772.62,0.16,183.61,21,0.64,768.32,0.4,217.93,25,0.93
wins,"w""Inz",2,VB|NN,603.78,-0.63,173.91,32,0.97,583.63,-0.65,101.62,27,1
winsome,"w""In.sm=",1,JJ,935.71,0.49,528.08,17,0.5,714.46,-0.02,219.36,26,0.96
Winston,"w""In.st@n",2,NN,735.09,-0.14,264.12,32,0.94,634.46,-0.4,125.46,26,1
winter,"w""In.4@`",1,NN|VB,552.24,-0.81,149.83,34,1,576.07,-0.62,75.81,27,0.96
wintered,"w""In.4@`d",2,VB,843.78,0.17,242.79,27,0.87,737.69,0,232.7,26,1
wintergreen,"""wInt@%grin",NULL,NN,816.69,0.06,308.62,32,0.97,740.46,0.01,246.41,28,1
wintering,"w""In.4@`.IN",2,VB|NN|JJ,850.06,0.12,326.07,31,0.89,713.96,-0.13,285.41,25,0.96
winters,"w""In.4@`z",2,NN|VB,770.24,-0.27,378.43,34,1,599.15,-0.62,165.44,27,1
wintertime,"w""In.4@`.t%aIm",2,NN,937.64,0.63,322.84,28,0.85,744.67,0.23,143.34,27,1
wintery,"w""In.4@`.i",2,JJ,796.46,0.1,326.79,24,0.75,702.46,-0.11,120.59,24,0.89
wintry,"w""In.tri",2,JJ,876.27,0.31,339.86,11,0.35,731.81,-0.02,191.17,26,0.96
wipe,"w""aIp",1,VB,665.62,-0.59,299.67,34,1,579.43,-0.68,105.75,28,1
wiped,"w""aIpt",2,VB,605.21,-0.6,140.89,33,1,579.36,-0.6,120.16,28,1
wiper,"w""aIp.@`",2,NN,670.5,-0.41,298.93,30,0.91,596.7,-0.49,104.93,27,0.96
wiping,"w""aIp.IN",2,VB,766.6,-0.27,357.46,30,0.91,631.37,-0.48,188.14,27,0.96
wire,"w""aIr",1,NN|VB,600.67,-0.57,200.43,33,1,573.29,-0.75,63.42,28,1
wirecutters,"w""aIr.k%V4.@`z",4,NN,969.39,0.51,394.2,31,0.89,782.19,0.27,161.63,26,0.96
wired,"w""aIrd",2,VB,604.83,-0.62,142.42,35,1,597,-0.61,122.74,28,1
wireless,"w""aIr.l@s",2,JJ|NN,598.09,-0.55,178.31,35,1,633.28,-0.57,98.23,25,1
wires,"w""aIrz",2,NN|VB,614.62,-0.61,206.95,34,0.97,593.85,-0.66,198.57,27,1
wiretap,"""waI@_Xr%tap",NULL,NN|VB|JJ,858.77,0.21,329.99,30,0.94,651.37,-0.32,128.42,27,1
wireworm,"w""aIr.w%3`m",2,NN,957.61,0.47,370.71,23,0.68,810.12,0.27,284.11,25,0.93
wiring,"w""aIr.IN",2,NN|VB,709.45,-0.35,205.23,31,0.94,700.93,-0.28,240.13,28,1
wiry,"w""aIr.i",2,JJ,807.74,0.35,271.98,23,0.68,674.57,-0.27,151.38,21,0.81
Wisconsin,"wI.sk""An.sIn",1,NN,647.75,-0.34,138.71,32,1,649.11,-0.32,146.05,28,1
Wisconsin's,"w%Isk""Ans@nz",NULL,NULL,821.79,0.03,363.11,33,1,707.31,-0.11,190.23,26,0.96
wisdom,"w""Iz.d@m",2,NN,645.06,-0.5,207.09,35,1,599.08,-0.57,110.97,26,1
wise,"w""aIz",1,JJ|NN,650.97,-0.61,277.25,34,1,554.15,-0.78,70.02,27,1
wisecrack,"w""aIz.kr%ak",2,NN,758.66,-0.03,181.93,29,0.91,692.96,-0.13,140.89,28,1
wisecracked,"w""aIz.kr%akt",3,VB|JJ,861.52,0.43,274.34,29,0.91,720.19,0.23,177.93,26,1
wisely,"w""aIz.li",2,RB,644,-0.53,257.8,33,1,554.28,-0.75,63.51,25,1
wisenheimer,"w""aI.zn=.h%aI.m@`",1,NN,1341.67,1.86,670.35,6,0.21,1021.24,1.01,347.75,17,0.81
wiser,"w""aIz.@`",2,JJ|NN,597.35,-0.64,183.68,31,0.94,619.04,-0.56,193.08,27,1
wisest,"w""aIz.Ist",2,JJ,781.9,-0.06,291.59,29,0.85,727.44,-0.13,257.23,27,1
wish,"w""IS",1,VB|NN,707.09,-0.4,365.11,34,1,528.33,-0.9,106.82,27,1
wishbone,"w""IS.b%on",2,NN,670.29,-0.39,237.13,34,0.97,654.86,-0.4,169.48,28,1
wished,"w""ISt",2,VB,583.45,-0.6,163.69,31,0.97,642.81,-0.49,145.05,27,1
wishes,"w""IS.@z",2,VB|NN,559.79,-0.8,129.02,33,0.97,566.35,-0.71,119.58,26,1
wishful,"w""IS.fl=",2,JJ,685.17,-0.4,174.82,35,0.97,632.07,-0.5,141.81,28,1
wishing,"w""IS.IN",2,VB,645.39,-0.49,204.83,33,0.97,585.04,-0.68,143.77,27,1
wisp,"w""Isp",1,NN,671.11,-0.24,199.13,28,0.82,591.46,-0.64,109.44,28,1
wisps,"w""Isps",2,NN,719.04,-0.07,223.21,24,0.73,582.44,-0.54,89.85,25,0.96
wispy,"w""Isp.i",2,JJ,837.81,0.08,371.72,27,0.77,609.12,-0.58,98.42,25,0.96
wisteria,"wI.st""I.ri@",1,NN,1201.29,1.07,715.18,7,0.23,917.21,0.72,176.68,19,0.73
wistful,"w""Ist.fl=",2,JJ,727.13,-0.15,282.29,24,0.75,635.73,-0.45,137.11,26,0.96
wistfully,"w""Ist.fl=.i",3,RB,819.93,0.27,217.09,30,0.88,663.22,-0.33,121.48,27,1
wit,"w""It",1,NN,658.61,-0.44,161.84,28,0.85,555.29,-0.71,117.38,28,1
witch,"w""ItS",1,NN,639.66,-0.63,279.71,32,0.97,558.18,-0.77,92.97,28,1
witchcraft,"w""ItS.kr%aft",2,NN,698.43,-0.37,213.16,35,1,667.74,-0.34,126.3,27,0.96
witchdoctor,"wItS.""dAkt@`",NULL,NULL,939.93,0.49,313.91,29,0.91,763.75,0.12,188.63,28,1
witches,"w""ItS.@z",2,NN,609.56,-0.54,196.53,32,0.97,595.54,-0.67,125.82,24,1
with,"w""IT",1,minor|JJ,615.88,-0.55,153.64,32,1,606.32,-0.61,153.99,28,1
